time,open,high,low,close,Upper 2.0 R edge,Lower 2.0 R edge,VWAP,MA 1,MA 2
1779894000,4433.89,4438.57,4428.14,4432.14,4549.87,4477.820000000001,4465.460212712596,,
1779894900,4432.14,4436.01,4429.8,4436.01,4549.87,4477.820000000001,4464.996526153254,,
1779895800,4436.01,4441.61,4432.9,4434.09,4549.87,4477.820000000001,4464.507657689311,,
1779896700,4434.09,4438.68,4430.94,4436.39,4549.87,4477.820000000001,4464.094357253672,,
1779897600,4436.39,4441.91,4434.18,4440.16,4549.87,4477.820000000001,4463.779189664902,,
1779898500,4440.16,4447.61,4439.76,4446.8,4549.87,4477.820000000001,4463.610038121472,,
1779899400,4446.8,4453.25,4445.11,4450.64,4549.87,4477.820000000001,4463.49144015469,,
1779900300,4450.64,4453.28,4449.27,4450.64,4549.87,4477.820000000001,4463.374488640724,,
1779901200,4450.64,4451.69,4441.25,4444.13,4549.87,4477.820000000001,4463.118493621625,,
1779902100,4444.13,4451.21,4443.18,4449.65,4549.87,4477.820000000001,4462.950461082267,,
1779903000,4449.65,4454.29,4449.65,4450.49,4549.87,4477.820000000001,4462.861135703344,,
1779903900,4450.49,4454.03,4449.92,4450.38,4549.87,4477.820000000001,4462.794280775459,,
1779904800,4450.38,4452.2,4447.76,4450.05,4549.87,4477.820000000001,4462.719568709053,,
1779905700,4450.05,4458.24,4449.75,4455.42,4549.87,4477.820000000001,4462.664027477857,,
1779906600,4455.42,4456.45,4451.2,4453.07,4549.87,4477.820000000001,4462.627706555861,,
1779907500,4453.07,4454.91,4452.08,4454.22,4549.87,4477.820000000001,4462.599565387055,,
1779908400,4454.22,4454.61,4450.48,4451.75,4549.87,4477.820000000001,4462.551667671257,,
1779909300,4451.75,4454.01,4449.61,4451.06,4549.87,4477.820000000001,4462.486262503871,,
1779910200,4451.06,4454.8,4449.48,4453.49,4549.87,4477.820000000001,4462.430072934983,,
1779911100,4453.49,4453.74,4448.86,4450.98,4549.87,4477.820000000001,4462.346677013181,,
1779912000,4450.98,4455.4,4449.86,4455.4,4549.87,4477.820000000001,4462.323224457391,,
1779912900,4455.4,4458.91,4454.65,4454.91,4549.87,4477.820000000001,4462.30581842742,,
1779913800,4454.91,4455.65,4451.58,4453.71,4549.87,4477.820000000001,4462.290167349564,,
1779914700,4453.71,4456.38,4452.67,4455.48,4549.87,4477.820000000001,4462.276387908348,,
1779919200,4455.48,4465.78,4455.15,4457.41,4549.87,4477.820000000001,4459.446666666667,,
1779920100,4457.41,4461.86,4456.21,4459.49,4549.87,4477.820000000001,4459.3441157035095,,
1779921000,4459.49,4462.28,4454.77,4458.1,4549.87,4477.820000000001,4458.993102274975,,
1779921900,4458.1,4458.78,4454.74,4457.06,4549.87,4477.820000000001,4458.5992225555665,,
