time,open,high,low,close,MA 1,MA 2
1773421200,5045.95,5063.68,5043.11,5045.96,,
1773424800,5045.96,5051.75,5036.02,5046.58,,
1773428400,5046.58,5049.84,5009.53,5016.33,,
1773432000,5016.33,5025.41,5012.11,5024.83,,
1773612000,5024.83,5030.11,5000.64,5024.64,,
1773615600,5024.64,5025.88,4967.43,4997.13,,
1773619200,4997.13,5030.67,4996.33,5025.25,,
1773622800,5025.25,5026.09,4982.37,5015.55,,
1773626400,5015.55,5018.79,4997.51,5003.24,,
1773630000,5003.24,5020.64,4997.74,5018.92,,
1773633600,5018.92,5026.08,5012.16,5012.51,,
1773637200,5012.51,5019.99,5002.85,5017.45,,
1773640800,5017.45,5035.76,5005.33,5011.82,,
1773644400,5011.82,5016.12,4991.86,4995.74,,
1773648000,4995.74,5003.51,4984.93,4991.1,,
1773651600,4991.1,4991.36,4972.78,4975.44,,
1773655200,4975.44,4999.47,4970.16,4998.75,,
1773658800,4998.75,5022.65,4992.61,4997.09,,
1773662400,4997.09,5024.67,4994.56,5019.82,,
1773666000,5019.82,5034.23,5013.85,5029.89,,
1773669600,5029.89,5037.7,4987.65,4995.83,,
1773673200,4995.83,5005.67,4983.78,4987.01,,
1773676800,4987.01,4998.7,4974.02,4990.49,,
1773680400,4990.49,5003.61,4983.88,4991.19,,
1773684000,4991.19,5017.75,4989.8,5012.65,,
1773687600,5012.65,5020.16,5007.99,5012.69,,
1773691200,5012.69,5021.39,5004.6,5004.68,,
1773698400,5004.68,5015.74,4998.28,5002.47,,
1773702000,5002.47,5015.42,5002.13,5012.73,,
1773705600,5012.73,5013.63,4998.06,5002.89,,
1773709200,5002.89,5027.81,4994.38,5027.79,,
1773712800,5027.79,5029.6,5019.68,5022.42,,
1773716400,5022.42,5033.4,5020.51,5027.25,,
1773720000,5027.25,5041.74,5026.01,5037.53,,
1773723600,5037.53,5044.19,5019.75,5020.75,,
1773727200,5020.75,5022.75,5004.75,5009.99,,
1773730800,5009.99,5028.11,5008.89,5021.23,,
1773734400,5021.23,5029.48,5018.7,5024.71,,
1773738000,5024.71,5025.86,5009.9,5010.42,,
1773741600,5010.42,5016.19,4991.68,5000.17,,
1773745200,5000.17,5011.49,4996.76,5003.15,,
1773748800,5003.15,5023.86,4999.35,5011.77,,
1773752400,5011.77,5031.41,5005.44,5016.33,,
1773756000,5016.33,5020.38,5002.83,5007.58,,
1773759600,5007.58,5017.38,4973.37,4997.72,,
1773763200,4997.72,5005.82,4991.61,5001.94,,
1773766800,5001.94,5008.71,4996.55,5002.38,,
1773770400,5002.38,5009.05,4999.79,5003.61,,
1773774000,5003.61,5005.57,4996.25,5000.16,,
1773777600,5000.16,5006.78,4999.76,5005.91,,
1773784800,5005.91,5005.91,4992.82,4999.56,,
1773788400,4999.56,5003.33,4998.36,5002.51,,
1773792000,5002.51,5012.23,4999.99,5003.87,,
1773795600,5003.87,5015.79,4991.03,4998.41,,
1773799200,4998.41,5006.93,4990.41,4991.88,,
1773802800,4991.88,4997.52,4986.02,4990.93,,
1773806400,4990.93,4993.48,4981.55,4987.09,,
1773810000,4987.09,5002.7,4984.68,4997.58,,
1773813600,4997.58,5016.28,4996.15,5009.27,,
1773817200,5009.27,5014.98,4989.99,4994.88,,
1773820800,4994.88,4996.7,4976.9,4987.66,,
1773824400,4987.66,4995.6,4984.53,4992.19,,
1773828000,4992.19,4992.22,4958.21,4967.85,,
1773831600,4967.85,4974.11,4924.45,4930.3,,
1773835200,4930.3,4932.45,4870.59,4881.42,,
1773838800,4881.42,4885.5,4834.18,4877.62,,
1773842400,4877.62,4894.67,4856.27,4869.3,,
1773846000,4869.3,4880.14,4860.86,4862.36,,
1773849600,4862.36,4890.28,4860.86,4886.68,,
1773853200,4886.68,4898.88,4883.87,4890.06,,
1773856800,4890.06,4899.12,4852.03,4852.86,,
1773860400,4852.86,4865.18,4838.05,4842.88,,
1773864000,4842.88,4848.65,4806.39,4818.44,,
1773871200,4818.44,4838.93,4802.92,4834.2,,
1773874800,4834.2,4842.29,4827.82,4836.45,,
1773878400,4836.45,4848.48,4835.03,4840.93,,
1773882000,4840.93,4866.96,4832.61,4849.45,,
1773885600,4849.45,4861.98,4841.19,4858.62,,
1773889200,4858.62,4865.87,4850.55,4850.97,,
1773892800,4850.97,4853.77,4845.37,4849.84,,
1773896400,4849.84,4853.83,4826.56,4827.58,,
1773900000,4827.58,4842.37,4747.45,4763.26,,
1773903600,4763.26,4784.31,4726.52,4727.34,,
1773907200,4727.34,4740.33,4686.52,4709.06,,
1773910800,4709.06,4725.69,4687.49,4698.94,,
1773914400,4698.94,4719.87,4666.28,4678.99,,
1773918000,4678.99,4699.31,4650.36,4651.28,,
1773921600,4651.28,4653.7,4530.97,4574.45,,
1773925200,4574.45,4620.94,4501.97,4620.68,,
1773928800,4620.68,4648.96,4581.05,4601.56,,
1773932400,4601.56,4638.61,4565.88,4596.39,,
1773936000,4596.39,4626.44,4576.47,4584.97,,
1773939600,4584.97,4629.97,4573.47,4616.18,,
1773943200,4616.18,4623.14,4595.69,4622.95,,
1773946800,4622.95,4663.28,4622.8,4643.88,,
1773950400,4643.88,4661.78,4642.7,4649.33,,
1773957600,4649.33,4676.84,4635.62,4636.06,,
1773961200,4636.06,4647.92,4634.11,4643.3,,
