====================================================================================================
  BASELINE v2.2   34 trades  20W/14L  58.8%  PF 4.72  totR +47.1  DD 2.8
====================================================================================================

  Supertrend on 15m bars, read at the call:

  period  mult     n   W   L    win%      PF    totR   filtered  (of which W/L)
       7   1.5    24  15   9   62.5%    5.10   +33.2      10     5W/5L   +13.9 R
       7   2.0    26  15  11   57.7%    4.51   +33.8       8     5W/3L   +13.2 R
       7   3.0    26  16  10   61.5%    4.80   +36.3       8     4W/4L   +10.8 R
       7   4.0    28  16  12   57.1%    4.19   +35.4       6     4W/2L   +11.7 R
      10   1.5    21  13   8   61.9%    5.18   +29.7      13     7W/6L   +17.4 R
      10   2.0    27  15  12   55.6%    4.08   +32.8       7     5W/2L   +14.2 R
      10   3.0    27  17  10   63.0%    5.05   +38.7       7     3W/4L    +8.4 R
      10   4.0    28  16  12   57.1%    4.19   +35.4       6     4W/2L   +11.7 R
      14   1.5    21  13   8   61.9%    5.18   +29.7      13     7W/6L   +17.4 R
      14   2.0    27  15  12   55.6%    4.08   +32.8       7     5W/2L   +14.2 R
      14   3.0    26  16  10   61.5%    5.36   +37.7       8     4W/4L    +9.3 R
      14   4.0    26  15  11   57.7%    4.24   +32.7       8     5W/3L   +14.4 R
      20   1.5    21  13   8   61.9%    5.18   +29.7      13     7W/6L   +17.4 R
      20   2.0    27  15  12   55.6%    4.08   +32.8       7     5W/2L   +14.2 R
      20   3.0    25  15  10   60.0%    5.08   +35.3       9     5W/4L   +11.8 R
      20   4.0    26  16  10   61.5%    4.97   +36.1       8     4W/4L   +10.9 R

  Supertrend on 1h bars:

  period  mult     n   W   L    win%      PF    totR   filtered  (of which W/L)
       7   2.0    25  15  10   60.0%    4.74   +34.0       9     5W/4L   +13.0 R
       7   3.0    18  11   7   61.1%    5.54   +27.7      16     9W/7L   +19.4 R
       7   4.0    16  10   6   62.5%    6.31   +27.0      18     10W/8L   +20.0 R
      10   2.0    25  15  10   60.0%    4.74   +34.0       9     5W/4L   +13.0 R
      10   3.0    17  10   7   58.8%    5.23   +25.8      17     10W/7L   +21.3 R
      10   4.0    18  11   7   61.1%    5.67   +28.5      16     9W/7L   +18.6 R
      14   2.0    25  15  10   60.0%    4.74   +34.0       9     5W/4L   +13.0 R
      14   3.0    17  10   7   58.8%    5.23   +25.8      17     10W/7L   +21.3 R
      14   4.0    18  11   7   61.1%    5.67   +28.5      16     9W/7L   +18.6 R

  Supertrend on 4h bars:

  period  mult     n   W   L    win%      PF    totR   filtered  (of which W/L)
       7   2.0    19  12   7   63.2%    5.89   +29.8      15     8W/7L   +17.3 R
       7   3.0    26  15  11   57.7%    4.98   +40.2       8     5W/3L    +6.9 R
       7   4.0    20  10  10   50.0%    3.44   +22.2      14     10W/4L   +24.9 R
      10   2.0    19  12   7   63.2%    5.89   +29.8      15     8W/7L   +17.3 R
      10   3.0    26  15  11   57.7%    4.98   +40.2       8     5W/3L    +6.9 R
      10   4.0    20  10  10   50.0%    3.44   +22.2      14     10W/4L   +24.9 R
      14   2.0    20  13   7   65.0%    6.65   +34.4      14     7W/7L   +12.7 R
      14   3.0    25  14  11   56.0%    4.57   +36.1       9     6W/3L   +11.0 R
      14   4.0    20  10  10   50.0%    3.44   +22.2      14     10W/4L   +24.9 R
